as.numeric.keep. keep
1 0 FALSE
2 0 FALSE
3 0 FALSE
4 0 FALSE
5 0 FALSE
6 0 FALSE
7 0 FALSE
8 0 FALSE
9 0 FALSE
10 1 TRUE
11 0 FALSE
12 1 TRUE
13 0 FALSE
14 0 FALSE
15 1 TRUE
16 1 TRUE
17 0 FALSE
18 1 TRUE
19 1 TRUE
20 0 FALSE
21 1 TRUE
22 1 TRUE
23 1 TRUE
24 1 TRUE
25 1 TRUE
26 1 TRUE
27 1 TRUE
28 1 TRUE
29 1 TRUE
30 1 TRUE
31 1 TRUE
32 1 TRUE
33 1 TRUE
34 1 TRUE
35 1 TRUE
36 1 TRUE
37 1 TRUE
38 1 TRUE
39 1 TRUE
40 1 TRUE
41 1 TRUE
42 1 TRUE
43 1 TRUE
44 1 TRUE
45 1 TRUE
46 1 TRUE
47 1 TRUE
48 1 TRUE
49 1 TRUE
50 1 TRUE
51 1 TRUE
52 1 TRUE
53 1 TRUE
54 1 TRUE
55 1 TRUE
56 1 TRUE
57 1 TRUE
58 1 TRUE
59 1 TRUE
60 1 TRUE
61 1 TRUE
62 1 TRUE
63 1 TRUE
64 1 TRUE
65 1 TRUE
66 1 TRUE
67 1 TRUE
68 1 TRUE
69 1 TRUE
70 1 TRUE
71 1 TRUE
72 1 TRUE
73 1 TRUE
74 1 TRUE
75 1 TRUE
76 1 TRUE
77 1 TRUE
78 1 TRUE
79 1 TRUE
80 1 TRUE
81 1 TRUE
82 0 FALSE
83 0 FALSE
84 1 TRUE
85 1 TRUE
86 1 TRUE
87 1 TRUE
88 1 TRUE
89 1 TRUE
90 1 TRUE
91 0 FALSE
92 1 TRUE
93 1 TRUE
94 1 TRUE
95 1 TRUE
96 1 TRUE
97 1 TRUE
98 1 TRUE
99 1 TRUE
100 1 TRUE
101 1 TRUE
102 1 TRUE
103 1 TRUE
104 1 TRUE
105 1 TRUE
106 1 TRUE
107 1 TRUE
108 1 TRUE
109 1 TRUE
110 1 TRUE
111 1 TRUE
112 1 TRUE
113 1 TRUE
114 1 TRUE
115 1 TRUE
116 1 TRUE
117 1 TRUE
118 1 TRUE
119 1 TRUE
120 1 TRUE
121 1 TRUE
122 1 TRUE
123 1 TRUE
124 1 TRUE
125 1 TRUE
126 1 TRUE
127 1 TRUE
128 1 TRUE
129 1 TRUE
130 1 TRUE
131 1 TRUE
132 1 TRUE
133 1 TRUE
134 1 TRUE
135 1 TRUE
136 1 TRUE
137 0 FALSE
138 1 TRUE
139 0 FALSE
140 1 TRUE
141 1 TRUE
142 1 TRUE
143 0 FALSE
144 1 TRUE
145 1 TRUE
146 0 FALSE
147 1 TRUE
148 1 TRUE
149 1 TRUE
150 1 TRUE
151 1 TRUE
152 1 TRUE
153 1 TRUE
154 0 FALSE
155 1 TRUE
156 1 TRUE
157 1 TRUE
158 1 TRUE
159 1 TRUE
160 1 TRUE
161 1 TRUE
162 1 TRUE
163 1 TRUE
164 1 TRUE
165 0 FALSE
166 1 TRUE
167 0 FALSE
168 1 TRUE
169 1 TRUE
170 1 TRUE
171 1 TRUE
172 1 TRUE
173 1 TRUE
174 1 TRUE
175 1 TRUE
176 1 TRUE
177 1 TRUE
178 1 TRUE
179 1 TRUE
180 1 TRUE
181 1 TRUE
182 1 TRUE
183 1 TRUE
184 1 TRUE
185 1 TRUE
186 0 FALSE
187 0 FALSE
188 0 FALSE
189 0 FALSE
